NAME,LOCATION_CLEAN,CUISINES,PRIMARY_CUISINE,PRIMARY_REST_TYPE,RATE,VOTES,APPROX_COST_FOR_TWO_PEOPLE,BOOK_TABLE,ONLINE_ORDER
Kamat Bugle Rock,Basavanagudi,"South Indian, Fast Food",South Indian,Quick Bites,3.9,549,300.0,False,True
b CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© - Shangri-La Hotel,Vasanth Nagar,"North Indian, Italian, Chinese, Japanese",North Indian,Fine Dining,4.3,429,3400.0,True,False
Daily Bread,Marathahalli,"Bakery, Fast Food, Italian",Bakery,Bakery,3.6,18,600.0,False,False
Delhi Delight Food Cafe,Jeevan Bhima Nagar,"Chinese, North Indian",Chinese,Quick Bites,3.1,28,200.0,False,True
Biggies Burger 'n' More,Marathahalli,"Cafe, Burger, Fast Food",Cafe,Cafe,4.1,85,400.0,False,True
The London Shakes,BTM,"Beverages, Fast Food",Beverages,Beverage Shop,3.5,14,400.0,False,True
Indian Coffee House & Restaurant,Koramangala 5th Block,"South Indian, North Indian, Chinese",South Indian,Casual Dining,4.1,679,650.0,False,False
Chef's Gallery,Bellandur,"Chinese, Italian, North Indian",Chinese,Casual Dining,3.5,95,700.0,False,False
Starbucks,Bellandur,"Cafe, Desserts",Cafe,Cafe,3.9,39,700.0,False,False
Tawa Fresh,Hennur,"Seafood, Biryani, South Indian, North Indian, Rolls",Seafood,Quick Bites,3.4,12,300.0,False,True
Cupcake Bliss,Other_Broad_Areas,Bakery,Bakery,Bakery,3.5,4,250.0,False,True
Just Bake,BTM,Bakery,Bakery,Bakery,3.3,77,400.0,False,True
Gam's Delicacy,Koramangala 7th Block,"North Indian, Chinese, Assamese",North Indian,Casual Dining,4.2,325,800.0,True,True
Asha Tiffins,HSR,South Indian,South Indian,Quick Bites,4.3,287,150.0,False,True
Page 3 Multicuisine Restaurant & Bar,Residency Road,"North Indian, Chinese, Finger Food",North Indian,Bar,3.5,14,800.0,False,False
Saara's Grill n Spice - SS Lumina Hotel,Koramangala 7th Block,"North Indian, Arabian, Beverages",North Indian,Casual Dining,4.3,108,1000.0,True,False
Shawarma Inc,Bannerghatta Road,"Rolls, Lebanese",Rolls,Food Court,3.3,7,250.0,False,True
Fat Buddha,Cunningham Road,"Chinese, Thai",Chinese,Casual Dining,4.0,457,1000.0,True,True
Fai Dang,Indiranagar,"Asian, Continental",Asian,Casual Dining,3.3,33,1100.0,False,False
The Biriyani Pedia,BTM,"Biryani, North Indian",Biryani,Quick Bites,4.0,59,300.0,False,True
Varenyam,Electronic City,"South Indian, North Indian",South Indian,Casual Dining,3.7,56,500.0,False,False
Bakingo,Marathahalli,"Bakery, Desserts",Bakery,Bakery,3.4,6,500.0,False,True
Five Star Chicken,Kammanahalli,Fast Food,Fast Food,Quick Bites,3.5,32,200.0,False,False
Treat Kitchen,Thippasandra,"North Indian, Chinese, Seafood",North Indian,Quick Bites,3.8,79,400.0,False,True
Magic Box,Indiranagar,"South Indian, North Indian, Chinese",South Indian,Takeaway,3.3,21,300.0,False,True
Soup Station,Domlur,"Healthy Food, Sandwich, Salad",Healthy Food,Delivery,3.9,112,150.0,False,True
Corner House Ice Cream,Indiranagar,"Ice Cream, Desserts",Ice Cream,Dessert Parlor,4.7,2174,400.0,False,True
Eat Well,Banaswadi,North Indian,North Indian,Takeaway,3.6,113,400.0,False,True
Midnight Restro,BTM,"North Indian, Fast Food",North Indian,Delivery,3.4,55,500.0,False,True
Sagar Deluxe,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",South Indian,Quick Bites,3.2,170,300.0,False,True
The Elachi,Electronic City,North Indian,North Indian,Quick Bites,3.1,18,500.0,False,False
ReadyBowl,Bellandur,"Andhra, South Indian, North Indian, Biryani",Andhra,Takeaway,3.6,76,300.0,False,True
Chetty's Coffee,Kalyan Nagar,South Indian,South Indian,Quick Bites,3.5,87,150.0,False,False
Ambur Hot Dum Biryani,Thippasandra,Biryani,Biryani,Quick Bites,3.0,9,200.0,False,False
The Chariot,Brigade Road,"South Indian, North Indian, Chinese",South Indian,Quick Bites,2.9,50,350.0,False,True
Deshi Fusion Pizza,Outer_Areas,"Pizza, Chinese, Rolls",Pizza,Delivery,3.3,76,750.0,False,True
Chillax,Bommanahalli,"Fast Food, Beverages",Fast Food,Quick Bites,3.3,4,300.0,False,False
Chai Point,Cunningham Road,"Tea, Beverages, Fast Food",Tea,Beverage Shop,3.8,149,250.0,False,False
Rawal Jalebi,Commercial Street,Desserts,Desserts,Dessert Parlor,3.5,10,100.0,False,True
ASEAN - On The Edge,MG Road,"Asian, Thai",Asian,Casual Dining,4.5,875,1800.0,True,True
Pizza Hut,JP Nagar,"Pizza, Fast Food",Pizza,Casual Dining,3.9,185,750.0,False,True
DinePost9,Banaswadi,"North Indian, South Indian, Chinese, Continental",North Indian,Delivery,3.9,367,450.0,False,True
The Flavours,Kalyan Nagar,"Kerala, Chinese, Arabian, Biryani",Kerala,Casual Dining,3.2,7,500.0,False,False
Savoury Restaurant,BTM,"Arabian, North Indian, Chinese, Fast Food",Arabian,Casual Dining,3.9,421,800.0,False,True
Garden Fresh,BTM,"Healthy Food, Juices",Healthy Food,Beverage Shop,3.9,51,200.0,False,True
Oven Fresh,Bellandur,"Bakery, Fast Food",Bakery,Bakery,3.2,8,600.0,False,False
Kenny's Restaurant,Frazer Town,"Chinese, North Indian",Chinese,Quick Bites,3.6,31,450.0,False,True
Tapout Tavern,Sarjapur Road,"American, Asian, Continental, North Indian, South Indian, Chinese",American,Casual Dining,4.1,332,1200.0,True,True
Sports Bar - Le Meridien,Sankey Road,Finger Food,Finger Food,Lounge,3.7,33,2500.0,False,False
The Grilled & Fried,Whitefield,Fast Food,Fast Food,Quick Bites,3.3,130,300.0,False,True
Chung Wah,Bannerghatta Road,"Chinese, Thai, Momos, Vietnamese",Chinese,Casual Dining,4.0,539,800.0,False,True
The Lounge - The Chancery Pavilion,Residency Road,"Chinese, North Indian, South Indian",Chinese,Casual Dining,3.7,34,2000.0,False,False
Gelato Italiano,Koramangala 5th Block,"Ice Cream, Bakery, Desserts",Ice Cream,Dessert Parlor,3.9,110,200.0,False,True
BFC Family Restaurant,Kaggadasapura,"North Indian, Biryani, Chinese, Rolls",North Indian,Casual Dining,3.2,426,600.0,False,True
Cafe Coffee Day,Lavelle Road,"Cafe, Fast Food",Cafe,Cafe,2.9,55,650.0,False,True
KFC,Electronic City,"Burger, Fast Food",Burger,Quick Bites,3.5,154,450.0,False,True
Eat Street,Koramangala 6th Block,"North Indian, Chinese, Italian, Street Food, Desserts",North Indian,Quick Bites,4.2,1536,600.0,False,False
The Lobby Lounge - The Ritz-Carlton,Residency Road,Beverages,Beverages,Casual Dining,4.1,29,2000.0,False,False
Incanto - The Zuri,Whitefield,Italian,Italian,Fine Dining,4.0,89,2500.0,True,False
Farha Real Taste Of Kerala,Nagawara,Kerala,Kerala,Quick Bites,3.1,6,300.0,False,True
Westin - Vyasa Paradise,Rajajinagar,"North Indian, South Indian, Chinese",North Indian,Casual Dining,3.4,8,800.0,False,False
Mani's Dum Biryani,Whitefield,"Biryani, Andhra",Biryani,Casual Dining,4.0,438,750.0,False,True
Sultan's Restaurant,Magadi Road,"Hyderabadi, Biryani",Hyderabadi,Quick Bites,3.2,37,200.0,False,True
Tiger Trail - Royal Orchid Hotel,Old Airport Road,North Indian,North Indian,Fine Dining,4.1,312,2000.0,True,False
Bake-ooh,Bannerghatta Road,Bakery,Bakery,Takeaway,3.7,17,350.0,False,False
Coffee Thindi,Banaswadi,South Indian,South Indian,Quick Bites,3.5,15,150.0,False,False
Sri Rama Vilas Sweets,Majestic,Mithai,Mithai,Sweet Shop,3.8,31,150.0,False,False
Kanti Sweets,BTM,"Mithai, Street Food",Mithai,Sweet Shop,4.2,115,400.0,False,True
Punjabi Khazana,Indiranagar,North Indian,North Indian,Quick Bites,3.5,40,400.0,False,False
Cake Dilim,HSR,"Bakery, Desserts",Bakery,Bakery,3.7,91,400.0,False,True
Lassi Corner,Rammurthy Nagar,"Beverages, Desserts",Beverages,Beverage Shop,2.9,28,200.0,False,True
Blue Heaven Bar And Restaurant,Majestic,"Chinese, North Indian",Chinese,Bar,3.2,6,750.0,False,False
Bhavya Military Hotel,Bannerghatta Road,South Indian,South Indian,Quick Bites,3.5,18,300.0,False,False
Midnight Food Point,Kalyan Nagar,"North Indian, Chinese, Mughlai, Biryani",North Indian,Delivery,2.7,37,500.0,False,True
Donne Biriyani Mane,Kalyan Nagar,"Biryani, Kebab",Biryani,Quick Bites,3.6,226,400.0,False,True
AKSHAYA BIRYANI,Sarjapur Road,"Biryani, North Indian",Biryani,Quick Bites,3.6,22,300.0,False,True
Mojo Pizza - 2X Toppings,JP Nagar,Pizza,Pizza,Takeaway,4.2,369,600.0,False,True
Subway,New BEL Road,"Healthy Food, Sandwich, Salad",Healthy Food,Quick Bites,3.7,167,500.0,False,False
Hotel Madhuvan,City Market,South Indian,South Indian,Quick Bites,3.5,7,200.0,False,False
The French Loaf,Marathahalli,"Bakery, Desserts, Sandwich",Bakery,Bakery,3.2,4,400.0,False,False
Thai House,Brigade Road,Thai,Thai,Casual Dining,4.3,131,700.0,False,True
Juicy,Old Airport Road,"Beverages, Juices, Fast Food",Beverages,Beverage Shop,3.8,80,200.0,False,True
Subway,Lavelle Road,"Salad, Fast Food",Salad,Quick Bites,3.9,107,600.0,False,True
Goli Vada Pav NO.1,MG Road,Street Food,Street Food,Quick Bites,3.4,7,200.0,False,False
Sree Krishna Sagar Greens,Electronic City,"South Indian, Street Food, Chinese",South Indian,Quick Bites,2.8,33,300.0,False,False
Mamatha Restaurant,Bommanahalli,"Biryani, Hyderabadi, North Indian",Biryani,Casual Dining,2.7,74,700.0,False,True
Frozen Bottle,JP Nagar,"Beverages, Desserts, Ice Cream",Beverages,Beverage Shop,3.7,60,400.0,False,True
Ganesh Restaurant,Koramangala 5th Block,"Chinese, Street Food",Chinese,Quick Bites,3.7,51,300.0,False,True
My Cafe,Electronic City,"North Indian, Chinese, Fast Food",North Indian,Quick Bites,3.6,16,350.0,False,False
McDonald's,Bommanahalli,"Burger, Fast Food",Burger,Quick Bites,3.3,5,500.0,False,True
Tasty Magic,BTM,"Chinese, North Indian",Chinese,Casual Dining,2.7,74,600.0,False,True
Artinci Artisanal Ice Cream,Whitefield,"Desserts, Ice Cream",Desserts,Dessert Parlor,4.1,58,300.0,False,True
1947,Malleshwaram,"North Indian, Chinese",North Indian,Casual Dining,4.0,1070,950.0,True,False
Nagarjuna,Marathahalli,"Andhra, Biryani",Andhra,Casual Dining,4.2,970,800.0,False,False
Udupi Ruchi Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",South Indian,Quick Bites,4.2,60,200.0,False,True
Cafe Rossini,New BEL Road,"Continental, Italian, Chinese",Continental,Casual Dining,3.9,431,700.0,False,True
Shuddh Desi Khana,Bannerghatta Road,North Indian,North Indian,Quick Bites,4.1,609,400.0,False,True
Galaxy 2 Restaurant,Shivajinagar,"North Indian, Chinese, Kerala, Arabian",North Indian,Quick Bites,3.2,4,400.0,False,False
Pind Balluchi,Brigade Road,"North Indian, Mughlai, Kebab",North Indian,Casual Dining,4.0,1025,700.0,True,True
Prashanth Grand,Seshadripuram,"South Indian, North Indian, Chinese",South Indian,Quick Bites,2.9,14,300.0,False,False
McLeans Italian Pizzeria,Ejipura,"American, Pizza",American,Delivery,3.4,31,500.0,False,True
Pout,BTM,Beverages,Beverages,Beverage Shop,4.0,40,400.0,False,False
Just Shawarma,Kumaraswamy Layout,Arabian,Arabian,Quick Bites,3.9,160,300.0,False,True
Biryani Paradise,Shanti Nagar,"Biryani, Fast Food",Biryani,Quick Bites,3.4,6,400.0,False,False
Punjabi Tadka,Whitefield,North Indian,North Indian,Casual Dining,3.2,4,500.0,False,False
SlimSins Cafe,Jayanagar,"Cafe, Healthy Food",Cafe,Cafe,4.1,715,850.0,False,False
Frozen Bottle,Koramangala 5th Block,"Beverages, Desserts, Ice Cream",Beverages,Beverage Shop,4.1,244,400.0,False,True
Bathinda Junction,Koramangala 5th Block,"North Indian, Mughlai",North Indian,Casual Dining,4.1,1251,600.0,True,True
Veganbreak24x7,City Market,"South Indian, Chinese, Continental, Biryani",South Indian,Takeaway,2.8,5,199.0,False,True
Indiana Burgers,BTM,Burger,Burger,Delivery,3.3,25,300.0,False,True
Juice Junction Food Court,Basavanagudi,"Juices, South Indian, Chinese, Fast Food",Juices,Quick Bites,3.7,57,200.0,False,True
Biryani Joint,Kammanahalli,"South Indian, Biryani",South Indian,Quick Bites,3.3,4,200.0,False,False
Swathi Restaurant,Seshadripuram,"Chinese, North Indian, South Indian",Chinese,Casual Dining,3.9,35,600.0,False,False
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Jayanagar,"North Indian, Afghan",North Indian,Casual Dining,3.8,176,1350.0,True,False
New Udupi Grand,Rajajinagar,"South Indian, North Indian, Chinese, Street Food",South Indian,Quick Bites,3.3,8,250.0,False,False
Benaka Sweets,Vijay Nagar,Mithai,Mithai,Sweet Shop,3.3,7,300.0,False,False
Lassi Corner,Vijay Nagar,"Beverages, Desserts",Beverages,Beverage Shop,3.5,18,150.0,False,True
Drunkling - Sizzlers and Pub,Koramangala 5th Block,"Chinese, Continental, North Indian, Burger, Pizza, Seafood",Chinese,Casual Dining,4.4,348,1000.0,True,True
Tang of Jamaica,Kalyan Nagar,"American, Mexican, BBQ",American,Casual Dining,3.4,28,900.0,False,False
The Maori - Aurick Boutique Hotel,JP Nagar,"Chinese, North Indian",Chinese,Casual Dining,3.5,44,1000.0,False,False
7Biryanis,Nagawara,"Andhra, Biryani",Andhra,Casual Dining,3.2,4,600.0,False,True
Dine @ 9 Paratha Corner,Indiranagar,"North Indian, Chinese",North Indian,Quick Bites,3.6,33,300.0,False,True
Bakers Paradise,Rajajinagar,"Bakery, Desserts, Beverages",Bakery,Bakery,3.0,8,100.0,False,False
Atithi Biryani Corner,JP Nagar,"Biryani, South Indian",Biryani,Quick Bites,3.3,4,200.0,False,True
Eat Eroo - Bombay Vada Pav,Marathahalli,Street Food,Street Food,Quick Bites,4.0,312,150.0,False,True
Odians,Marathahalli,"North Indian, Chinese, Oriya",North Indian,Quick Bites,3.1,44,500.0,False,True
Shake It Off,Indiranagar,"Beverages, Fast Food",Beverages,Quick Bites,4.2,165,600.0,False,True
RJ Food Plaza,Old Airport Road,"North Indian, Biryani",North Indian,Quick Bites,3.1,6,200.0,False,False
CakeZone,BTM,"Bakery, Desserts",Bakery,Bakery,4.1,342,500.0,False,False
Juice Berg,Sarjapur Road,Juices,Juices,Beverage Shop,3.3,4,200.0,False,False
Keventers,Brigade Road,"Desserts, Beverages, Ice Cream",Desserts,Beverage Shop,3.0,14,400.0,False,False
Birbal Darbar,Sarjapur Road,"North Indian, Chinese, Biryani",North Indian,Casual Dining,4.1,317,600.0,False,False
Devi's Cakes N Bakes,Bellandur,"Bakery, Desserts",Bakery,Bakery,3.6,31,200.0,False,False
Sketches,Sahakara Nagar,"South Indian, Fast Food",South Indian,Quick Bites,3.5,14,350.0,False,False
Feast - Sheraton Grand Bengaluru Whitefield Hotel &...,Whitefield,"Continental, Asian, South Indian, North Indian",Continental,Fine Dining,4.5,523,2500.0,True,False
Wangs Kitchen,Nagawara,Chinese,Chinese,Food Court,2.7,64,700.0,False,True
Pizza Baker's,Marathahalli,"Pizza, Burger, Fast Food, Beverages",Pizza,Quick Bites,3.0,15,450.0,False,True
Happy Days,Bommanahalli,"Biryani, North Indian, South Indian",Biryani,Delivery,3.1,54,500.0,False,True
Oogway Express,Marathahalli,"Chinese, Thai, Momos",Chinese,Casual Dining,3.7,19,600.0,False,True
Nilu Ki Rasoi,BTM,"North Indian, Chinese",North Indian,Quick Bites,3.7,37,250.0,False,True
Churchill's,JP Nagar,"North Indian, Continental",North Indian,Casual Dining,4.1,1411,1100.0,True,True
Kolkata Famous Kati Rolls,Banaswadi,"Fast Food, Rolls",Fast Food,Kiosk,3.1,4,200.0,False,True
Chef Master,Jayanagar,"Kerala, North Indian, Chinese",Kerala,Quick Bites,3.8,76,300.0,False,True
NV Patisserie,Koramangala 1st Block,"Desserts, Bakery",Desserts,Takeaway,3.6,10,350.0,False,False
Zaitoon Lassi Cafe,BTM,"Cafe, Burger, Sandwich, Beverages",Cafe,Quick Bites,3.5,5,150.0,False,True
Premium Bombay Kulfi,Indiranagar,Ice Cream,Ice Cream,Kiosk,3.5,11,100.0,False,True
Rajdhani Thali Restaurant,Malleshwaram,North Indian,North Indian,Casual Dining,4.0,610,1000.0,True,True
Sathya's,Koramangala 3rd Block,"North Indian, Chinese",North Indian,Bar,4.1,760,1200.0,True,False
FireHouse - Bar & Kitchen,HBR Layout,"Continental, American, Chinese, BBQ, Salad, Italian",Continental,Pub,3.9,764,1500.0,True,True
Speedy Chow,Marathahalli,Chinese,Chinese,Casual Dining,3.5,6,600.0,False,True
Cookie Man,Whitefield,Bakery,Bakery,Bakery,3.2,5,150.0,False,True
Little Kolkata,Ejipura,"Bengali, North Indian",Bengali,Quick Bites,3.9,97,500.0,False,True
Mylari Biryani Family Restaurant,Banashankari,"Biryani, Fast Food",Biryani,Quick Bites,3.7,73,400.0,False,True
Cafe Cosy,Jayanagar,"Cafe, Chinese, Continental, Fast Food",Cafe,Cafe,4.2,117,800.0,True,False
Smally's Resto Cafe,Ulsoor,"Cafe, Italian, Burger, American, Steak",Cafe,Cafe,4.1,1857,650.0,True,True
Little Orissa Restaurant,Indiranagar,"Oriya, North Indian, Bengali, Chinese",Oriya,Casual Dining,3.9,351,450.0,False,True
Biryani Khazana,Indiranagar,Biryani,Biryani,Takeaway,3.1,12,600.0,False,True
Chai Makhani,Koramangala 5th Block,"Beverages, Tea",Beverages,Beverage Shop,3.5,11,100.0,False,True
Hotel Sapthagiri,Marathahalli,"Andhra, North Indian, Chinese",Andhra,Casual Dining,3.6,13,700.0,False,True
Pavilion,Yeshwantpur,"North Indian, Chinese",North Indian,Casual Dining,3.7,34,700.0,False,True
Gruhalakshmi Home Foods,Bommanahalli,Mithai,Mithai,Sweet Shop,3.3,5,250.0,False,True
Malabar,Jeevan Bhima Nagar,"Kerala, Seafood, Biryani",Kerala,Quick Bites,3.0,162,400.0,False,True
Suchi Ruchi Veg & Non Veg Resturant,Bannerghatta Road,"South Indian, North Indian",South Indian,Quick Bites,3.2,4,400.0,False,False
Roti's Ghar,Bellandur,"North Indian, Juices",North Indian,Takeaway,3.4,11,200.0,False,True
Hum Biryani,BTM,"Biryani, North Indian",Biryani,Delivery,3.4,17,600.0,False,True
Marigold Fine Dine Restaurant,Whitefield,"Continental, Asian",Continental,Casual Dining,4.0,292,1500.0,True,False
Kalingas,BTM,"Oriya, Fast Food",Oriya,Quick Bites,3.9,185,250.0,False,True
CakeZone,"Varthur Main Road, Whitefield","Bakery, Desserts",Bakery,Takeaway,3.9,33,200.0,False,True
Dinemaster Gogo's,Hosur Road,"Chinese, Rolls, Beverages",Chinese,Quick Bites,3.4,6,300.0,False,True
Waffle Stories,Banaswadi,"Desserts, Beverages",Desserts,Food Court,3.8,31,300.0,False,True
JustBe Cafe,Sadashiv Nagar,"Cafe, Beverages, Healthy Food",Cafe,Cafe,4.3,476,1000.0,True,False
Kulfi & More,BTM,"Ice Cream, Beverages",Ice Cream,Dessert Parlor,3.7,47,200.0,False,True
Fudge,Basavanagudi,"Desserts, Momos",Desserts,Dessert Parlor,3.8,36,200.0,False,True
Petoo,HSR,"North Indian, Fast Food, Street Food",North Indian,Casual Dining,3.8,115,800.0,False,True
Lassi Corner,Koramangala 5th Block,"Beverages, Desserts",Beverages,Beverage Shop,3.5,16,300.0,False,True
Vapour Brewpub and Diner,Sarjapur Road,"North Indian, Continental, Italian",North Indian,Microbrewery,4.5,2878,1400.0,True,False
Tandoor Box,Brookefield,"Mughlai, North Indian, Biryani",Mughlai,Casual Dining,3.5,69,850.0,False,True
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Ulsoor,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",Pizza,Cafe,4.2,382,500.0,False,True
Kitchen King,Nagawara,"Rolls, Fast Food, Biryani",Rolls,Quick Bites,3.8,306,400.0,False,True
Pizza Hut,Koramangala 7th Block,"Pizza, Fast Food",Pizza,Casual Dining,3.7,708,750.0,False,True
Cutlet Shop,HSR,"Fast Food, Desserts",Fast Food,Quick Bites,3.2,9,200.0,False,False
Food Theory,Marathahalli,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",Biryani,Takeaway,2.8,48,500.0,False,False
Amar Kolkata,Old Airport Road,"Bengali, North Indian, Chinese",Bengali,Quick Bites,3.2,6,300.0,False,True
Prem's Biriyani,Electronic City,"Biryani, Fast Food",Biryani,Quick Bites,3.3,7,300.0,False,True
New Punjabi Food Corner,Electronic City,"North Indian, Chinese",North Indian,Casual Dining,3.7,70,500.0,False,True
Pebble,Sadashiv Nagar,Finger Food,Finger Food,Club,3.9,481,1500.0,False,False
Caraway Kitchen - Conrad Bengaluru,Ulsoor,"American, Continental, North Indian, South Indian",American,Fine Dining,4.3,166,2800.0,True,False
Momoz,Kammanahalli,"Chinese, Momos, Seafood",Chinese,Quick Bites,3.9,187,500.0,False,True
Coffee Mug Cafe,Marathahalli,"Cafe, Chinese, North Indian, Fast Food",Cafe,Cafe,3.7,23,400.0,False,False
Ghar Ki Rasoi,Indiranagar,"North Indian, Chinese, Italian",North Indian,Delivery,3.1,50,500.0,False,True
Polar Bear,Kalyan Nagar,"Ice Cream, Desserts, Beverages, Sandwich",Ice Cream,Dessert Parlor,3.8,221,400.0,False,True
New Shanthi Sagar,Basavanagudi,"South Indian, North Indian, Chinese, Street Food",South Indian,Quick Bites,2.7,51,600.0,False,False
Chai Point,Marathahalli,"Beverages, Fast Food",Beverages,Beverage Shop,3.5,8,150.0,False,False
Hotel Tom's Restaurant,Richmond Road,"Mangalorean, Seafood, Chinese, North Indian",Mangalorean,Casual Dining,4.4,725,1000.0,True,True
Sloshed,Basaveshwara Nagar,"Arabian, Chinese, Continental, North Indian, Finger Food",Arabian,Pub,3.9,96,1200.0,True,False
Arya Bhavan Sweets,MG Road,"Mithai, Street Food, North Indian",Mithai,Sweet Shop,3.2,6,300.0,False,False
Kabab Magic,Sarjapur Road,"North Indian, Kebab, Fast Food",North Indian,Quick Bites,3.0,321,500.0,False,True
Subway,Banashankari,"Salad, Fast Food",Salad,Quick Bites,3.7,136,600.0,False,True
McDonald's,Old Airport Road,"Burger, Fast Food",Burger,Quick Bites,3.0,167,500.0,False,True
Nandhini Paradise,St. Marks Road,"Andhra, Chinese, North Indian",Andhra,Casual Dining,3.6,279,800.0,True,False
Havelli - Chairman's Resort,Sahakara Nagar,"North Indian, Continental, Chinese, Seafood",North Indian,Casual Dining,3.5,137,1250.0,True,True
Ramdev Bhojnalaya,Electronic City,"Rajasthani, Gujarati",Rajasthani,Quick Bites,3.0,29,200.0,False,False
Maggi N Maggi House,Bannerghatta Road,Fast Food,Fast Food,Takeaway,3.4,23,300.0,False,True
Crispy Fried Chicken,Old Airport Road,"Burger, Fast Food",Burger,Quick Bites,3.4,12,150.0,False,True
Punjabi Home Made Food,Bellandur,North Indian,North Indian,Quick Bites,3.3,7,400.0,False,True
Abhiruchi Hotel,BTM,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",Andhra,Casual Dining,3.5,743,600.0,False,True
SKS Veg Corner,Sahakara Nagar,South Indian,South Indian,Quick Bites,3.4,43,300.0,False,True
Kava Bar - Fairfield By Marriott,Rajajinagar,"North Indian, South Indian, Continental",North Indian,Bar,3.4,10,1800.0,False,False
Shan Restaurant,Brigade Road,"Kerala, Chinese, South Indian, North Indian",Kerala,Quick Bites,3.0,20,400.0,False,True
Fitbakes,Jayanagar,"Bakery, Healthy Food",Bakery,Delivery,3.6,13,400.0,False,False
Arirang Korean Restaurant,Kammanahalli,Korean,Korean,Casual Dining,4.0,240,1400.0,True,False
McDonald's,New BEL Road,"Fast Food, Burger",Fast Food,Quick Bites,3.9,281,500.0,False,True
Bangarpet Chats,HSR,Street Food,Street Food,Quick Bites,3.3,9,150.0,False,False
Flayvours4u,Hennur,"Ice Cream, Beverages",Ice Cream,Dessert Parlor,3.2,27,150.0,False,False
Wangs Kitchen,Bannerghatta Road,Chinese,Chinese,Casual Dining,2.9,116,1000.0,False,True
The Only Place,Church Street,"Italian, American, Steak, Continental, BBQ, Salad",Italian,Casual Dining,4.2,2938,1000.0,True,True
Kerala Mess,Koramangala 1st Block,Kerala,Kerala,Quick Bites,3.4,19,200.0,False,True
Benjarong,Ulsoor,"Thai, Asian",Thai,Casual Dining,4.3,860,1800.0,False,True
India On Wheels,Koramangala 3rd Block,North Indian,North Indian,Delivery,3.6,11,400.0,False,True
The Rich Crust,Sahakara Nagar,"Cafe, European, Continental",Cafe,Cafe,3.8,43,600.0,False,True
LV Venkateshwara Jolada Rotti Oota,Malleshwaram,South Indian,South Indian,Quick Bites,3.9,35,300.0,False,True
Absolute Waffles,New BEL Road,"Desserts, Fast Food",Desserts,Dessert Parlor,3.9,49,200.0,False,True
Roti Ghar,Basavanagudi,"North Indian, Chinese, South Indian",North Indian,Casual Dining,3.9,753,500.0,False,True
Mad Over Donuts,Malleshwaram,"Bakery, Desserts, Beverages",Bakery,Food Court,3.9,131,450.0,False,True
Utsav Restaurant,Banashankari,"North Indian, Chinese",North Indian,Quick Bites,3.8,61,300.0,False,True
Hotel Kadamba Veg,Rajajinagar,"South Indian, North Indian, Chinese, Street Food, Juices",South Indian,Casual Dining,3.8,335,450.0,False,True
Toast & Tonic,Richmond Road,"European, Asian",European,Casual Dining,4.6,1095,1500.0,True,False
UBQ by Barbeque Nation,Koramangala 1st Block,"North Indian, BBQ, Biryani, Kebab",North Indian,Delivery,3.5,6,450.0,False,True
Vapour Pub & Brewery,Indiranagar,"North Indian, Continental, Chinese",North Indian,Microbrewery,4.2,6998,1400.0,True,False
KA53,Whitefield,"North Indian, Chinese",North Indian,Delivery,3.9,45,300.0,False,True
Truffles,New BEL Road,"Cafe, American, Burger, Steak",Cafe,Cafe,4.7,3916,900.0,False,False
The little Kitchen,JP Nagar,"Chinese, North Indian",Chinese,Quick Bites,3.4,6,300.0,False,True
Maddy's Cafe,Kammanahalli,"Cafe, Continental",Cafe,Cafe,3.8,36,500.0,False,True
Agarwal Food Service,Bannerghatta Road,"North Indian, Chinese, Biryani",North Indian,Delivery,3.8,268,400.0,False,True
Kailash Parbat,Malleshwaram,"North Indian, Street Food",North Indian,Food Court,3.1,116,600.0,False,False
The Raj Pavilion - ITC Windsor,Sankey Road,"North Indian, Continental, Asian",North Indian,Fine Dining,4.2,371,2400.0,True,False
Chai Central,RT Nagar,"Tea, Fast Food",Tea,Quick Bites,3.2,10,200.0,False,True
Shoiab Family Restaurant,Electronic City,"North Indian, South Indian, Chinese",North Indian,Casual Dining,3.6,14,600.0,False,True
Risalo Pizzeria,Brookefield,"Pizza, Italian, Desserts",Pizza,Quick Bites,4.0,121,900.0,False,True
Kanti Sweets,RT Nagar,"Mithai, Street Food",Mithai,Sweet Shop,3.9,58,400.0,False,True
Al Ghani Resetaurant,Kammanahalli,"Mughlai, Biryani",Mughlai,Quick Bites,3.3,4,400.0,False,False
OvenTreats - Patisserie.Bistro,Kalyan Nagar,American,American,Casual Dining,4.0,82,1000.0,False,False
